Observed,Shannon,Simpson,Chao1
1510,4.59886338033792,0.9571782704,2500.47894736842
1512,4.59142890797431,0.9567930464,2707.31176470588
1503,4.58951755058132,0.956530508,2528.01612903226
1511,4.58978304177085,0.9565128456,2432
1522,4.59862123100759,0.9569428464,2485.94527363184
1520,4.5910200469179,0.956599968,2491.88
1531,4.60247101911669,0.9566305864,2350.32735426009
1522,4.58221165205231,0.9561846976,2637.69189189189
1504,4.58796641934302,0.9567131536,2464.59278350515
1516,4.59309845599601,0.9565434792,2509.60512820513
1510,4.58634788190246,0.9559798504,2606.51428571429
1539,4.59534815964823,0.956512224,2618.57894736842
1524,4.59984984074831,0.9568891392,2464.63725490196
1496,4.5953061714577,0.9568117616,2525.58563535912
1506,4.60442282711589,0.957054616,2438.4793814433
1491,4.593064159508,0.9566148224,2531.60571428571
1532,4.6012698466855,0.9569391008,2602.71808510638
1515,4.58406372905234,0.9563275192,2542.49214659686
1526,4.60302443716187,0.9567382168,2598.02150537634
1519,4.59746937750322,0.9569015904,2471.53846153846
1520,4.5892446823753,0.956460848,2651.39890710382
1525,4.58789008274948,0.9563183728,2602.81621621622
1497,4.58719333841463,0.9566782632,2580.25568181818
1518,4.59560422763538,0.9569375,2437.57211538462
1511,4.59236251346192,0.9565721072,2433.64
1516,4.59745800872299,0.9568230648,2480.64974619289
1522,4.60694087114774,0.9572551688,2626.25
1510,4.58438128307264,0.9563417736,2729.9696969697
1489,4.59388395130303,0.9567552144,2329.22058823529
1530,4.59271450220735,0.9566236424,2519.33668341709
1500,4.59450863840542,0.9567689616,2474.4
1521,4.5951992713191,0.9566739928,2424.21739130435
1519,4.60133810575591,0.9570499232,2469.18
1511,4.60197101667591,0.9567739424,2491.16145833333
1527,4.60257371711746,0.957103928,2563.2
1519,4.59285484944664,0.9565755368,2447.725
1513,4.59966369030329,0.9569126112,2428
1515,4.59482071226642,0.9568288776,2451.45728643216
1517,4.60591232905345,0.9572577952,2474.76119402985
1488,4.58776314897387,0.956373032,2314.38693467337
1532,4.58852839280455,0.9562997592,2540.95939086294
1517,4.59265021571748,0.9565275336,2486.57142857143
1513,4.59865289104425,0.9565850592,2471.8
1505,4.59847425216135,0.9567786152,2520.08064516129
1539,4.59692628063259,0.9567422528,2675.62702702703
1500,4.59356447575149,0.9569329528,2407.57575757576
1510,4.60314842144381,0.9569993944,2429.5297029703
1522,4.59183779932385,0.956447384,2555.91489361702
1501,4.59444332121765,0.9567082328,2355.63235294118
1541,4.59407356470244,0.9565428312,2568.53768844221
1504,4.59453878669644,0.9563975344,2378.82673267327
1506,4.60212506895447,0.9569046856,2542.67415730337
1505,4.59590408410384,0.9569270192,2371.82692307692
1522,4.58957209878099,0.9565477464,2615.04918032787
1527,4.59689169872648,0.9566277296,2572.03225806452
1534,4.5933863776093,0.9565016608,2533.65346534653
1505,4.59340654581748,0.9567547352,2862.45098039216
1508,4.58595029586058,0.9564488688,2476.23076923077
1515,4.59135590516229,0.9565852992,2446.50485436893
1503,4.60042072784475,0.9570013136,2296.03791469194
1482,4.58647776781048,0.9564781328,2591.82208588957
1522,4.5852171982959,0.9563083416,2594.84736842105
1497,4.59822169234177,0.957015472,2428.08808290155
1516,4.59674543751362,0.956714848,2498.77777777778
1515,4.5920454827335,0.9567633128,2570.75555555556
1510,4.58492602335142,0.9563461376,2525.08064516129
1492,4.59559395806851,0.9567566192,2410.99476439791
1508,4.60145702611576,0.95725988,2424.575
1539,4.59829314337957,0.9564515128,2523.39
1519,4.59468688138338,0.956562128,2525.41538461538
1537,4.59282978290928,0.9565890808,2604.24742268041
1531,4.591114744358,0.9566385008,2453.50485436893
1486,4.59359791982926,0.9568948744,2310.29064039409
1500,4.58658197419992,0.9565747976,2487.83937823834
1525,4.59285153611448,0.9565037648,2496.5396039604
1509,4.59172875693575,0.956645736,2547.36507936508
1525,4.60081532633946,0.9567599336,2356.94196428571
1503,4.59245399346994,0.9568035336,2384.08252427184
1523,4.59647012766796,0.9570648864,2542.30769230769
1520,4.59216950601812,0.9563074176,2480.59113300493
1509,4.585113631214,0.956423136,2526.39893617021
1547,4.58366660172138,0.9563696512,2778.4010989011
1521,4.59181984444817,0.9562984728,2492.9067357513
1531,4.59160924610797,0.9563311944,2609.82258064516
1487,4.59755255793551,0.9568436784,2472.05555555556
1530,4.59920703524836,0.9568108152,2357.4798206278
1514,4.61176980808264,0.9574560872,2507.60512820513
1526,4.58812662846884,0.9562507768,2623.44565217391
1509,4.59538349920734,0.9567769992,2524.29100529101
1516,4.58908834096497,0.9564677184,2626.41899441341
1522,4.58931667092725,0.956447372,2541.93103448276
1515,4.59753464741979,0.9567027432,2519.28191489362
1512,4.58649483172585,0.9564364816,2434.50490196078
1490,4.60036801371099,0.9570106528,2357.10659898477
1514,4.59272474893064,0.9567369232,2603.38547486034
1518,4.60409682821678,0.957010472,2526.48387096774
1525,4.5979047459752,0.95696856,2459.57352941176
1525,4.60178116875602,0.9569548464,2544.30769230769
1505,4.59320853607812,0.9564778328,2431.03571428571
1533,4.5909250514162,0.9565814944,2546.60098522167
